Rappers,Songs,BPM
Big Daddy Kane,Raw (Remix),111
Big Daddy Kane,Uncut Pure (Original and Remix),BOOKMARKED
Big Daddy Kane,Too Late Playa,BOOKMARKED
Big Daddy Kane,Come on Down,BOOKMARKED
Big Daddy Kane,Pass it Off (Underground Remix),BOOKMARKED
Big Daddy Kane,Raw (Extended Alternate  Version),BOOKMARKED
Big Daddy Kane,Give it to Me,91
Big Daddy Kane,Last Night Episode,BOOKMARKED
Big Daddy Kane,Niggaz Never Learn,95
ASAP Rocky,Ghetto Symphony,128
ASAP Rocky,Changes,137
ASAP Rocky,Trilla,BOOKMARKED
